Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,3703,4893,13864,13867,18686,26789,31853,31854,31855
09:00,40146,49129,51930,53313,53457,54584,54665,55394,55396
09:45,56419,57674,58408,58575,58709,59320,59826,59828,60950
10:30,61147,61798,61859,63371,63372,64424,64425,65253,
11:15,65302,65867,66339,66737,67231,67239,67555,68279,70462
12:00,71211,71263,72160,73598,73685,74057,74584,74585,74586

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,73598,65302,64424,65253,59826,74057,63371,58408
09:11,61859,67555,64425,59828,57674,68279,61147,59320
09:22,58575,66737,61798,65867,63372,71263,56419,74585
09:33,73685,71211,66339,31853,18686,72160,70462,67231
09:44,67239,74586,64425,65253,,,13867,74057
09:55,61798,68279,26789,67555,4893,73598,63372,3703
10:06,49129,63371,73685,53457,13864,61147,70462,61859
10:17,64424,54665,31854,74585,72160,31855,54584,74584
10:28,67239,55394,65302,55396,40146,53313,,
10:39,,,58709,65867,66737,31855,67231,51930
10:50,26789,4893,66339,59826,31854,13867,56419,60950
11:01,49129,57674,74586,51930,3703,74584,71263,55396
11:12,59828,54584,58408,31853,54665,59320,55394,18686
11:23,53313,53457,40146,58575,13864,58709,60950,71211

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,61859,64425,54584,55396,56419,61147,63372,53457
14:07,59828,60950,4893,18686,57674,66737,55394,31855
14:15,61798,65302,13864,59320,64424,70462,67231,59826
14:22,3703,31853,63371,65253,26789,53313,49129,66339
14:30,73685,4893,54665,58709,66737,13867,31854,51930
14:37,58575,67555,54584,65867,64424,61147,55394,74584
14:45,65302,3703,40146,61798,67239,67231,59828,58408
14:52,31853,71211,68279,18686,59826,73598,13864,74584
15:00,63372,54665,70462,64425,74585,31855,56419,53313
15:07,53457,63371,40146,13867,57674,58709,31854,73685
15:15,74586,71211,26789,61859,13864,72160,71263,65253
15:22,67239,65302,66339,74057,55396,53313,60950,73598
15:30,74586,67555,51930,53457,3703,68279,59828,18686
15:37,49129,61147,71263,74585,66737,59320,70462,73685
15:45,58408,73598,64425,55396,55394,72160,65867,74057
15:52,64424,,54665,31853,58575,4893,31855,59826
16:00,74584,63371,56419,13867,74585,67231,66339,67555
16:07,63372,54584,71211,61859,31854,57674,61798,67239
16:15,68279,72160,49129,74057,58575,58709,71263,26789
16:22,65867,74586,51930,40146,65253,59320,60950,58408

