Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,3703,4893,13864,13867,18686,26789,31853,31854,31855
09:00,40146,49129,51930,53313,53457,54584,54665,55394,55396
09:45,56419,57674,58408,58575,58709,59320,59826,59828,60950
10:30,61147,61798,61859,63371,63372,64424,64425,65253,
11:15,65302,65867,66339,66737,67231,67239,67555,68279,70462
12:00,71211,71263,72160,73598,73685,74057,74584,74585,74586

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,73598,70462,64424,65253,59826,74057,63371,58408
09:11,61859,66339,64425,59828,57674,65867,61147,59320
09:22,58575,67239,61798,68279,63372,71263,56419,74585
09:33,73685,71211,67555,13864,18686,72160,65302,67231
09:44,66737,74586,64425,65253,,,13867,74057
09:55,61798,65867,26789,66339,4893,73598,63372,31855
10:06,49129,63371,73685,53457,31853,61147,65302,61859
10:17,64424,53313,31854,74585,72160,3703,54584,74584
10:28,66737,55394,70462,55396,54665,40146,,
10:39,,,58709,68279,67239,3703,67231,51930
10:50,26789,4893,67555,59826,31854,13867,56419,60950
11:01,49129,57674,74586,51930,31855,74584,71263,55396
11:12,59828,54584,58408,13864,53313,59320,55394,18686
11:23,40146,53457,54665,58575,31853,58709,60950,71211

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,61859,64425,54584,55396,56419,61147,63372,53457
14:07,59828,60950,4893,18686,57674,67239,55394,3703
14:15,61798,70462,31853,59320,64424,65302,67231,59826
14:22,31855,13864,63371,65253,26789,40146,49129,67555
14:30,73685,4893,53313,58709,67239,13867,31854,51930
14:37,58575,66339,54584,68279,64424,61147,55394,74584
14:45,70462,31855,54665,61798,66737,67231,59828,58408
14:52,13864,71211,65867,18686,59826,73598,31853,74584
15:00,63372,53313,65302,64425,74585,3703,56419,40146
15:07,53457,63371,54665,13867,57674,58709,31854,73685
15:15,74586,71211,26789,61859,31853,72160,71263,65253
15:22,66737,70462,67555,74057,55396,40146,60950,73598
15:30,74586,66339,51930,53457,31855,65867,59828,18686
15:37,49129,61147,71263,74585,67239,59320,65302,73685
15:45,58408,73598,64425,55396,55394,72160,68279,74057
15:52,64424,,53313,13864,58575,4893,3703,59826
16:00,74584,63371,56419,13867,74585,67231,67555,66339
16:07,63372,54584,71211,61859,31854,57674,61798,66737
16:15,65867,72160,49129,74057,58575,58709,71263,26789
16:22,68279,74586,51930,54665,65253,59320,60950,58408

