Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,3703,4893,13864,13867,18686,26789,31853,31854,31855
09:00,40146,49129,51930,53313,53457,54584,54665,55394,55396
09:45,56419,57674,58408,58575,58709,59320,59826,59828,60950
10:30,61147,61798,61859,63371,63372,64424,64425,65253,
11:15,65302,65867,66339,66737,67231,67239,67555,68279,70462
12:00,71211,71263,72160,73598,73685,74057,74584,74585,74586

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,73598,65302,63371,61798,58408,72160,64424,58709
09:11,64425,67555,61859,56419,59826,65867,61147,57674
09:22,58575,68279,65253,67239,63372,74586,59828,74057
09:33,73685,71263,67231,31854,26789,71211,70462,66737
09:44,66339,74585,61859,61798,,,31853,72160
09:55,65253,65867,18686,67555,3703,73598,63372,13864
10:06,53313,64424,73685,53457,13867,61147,70462,64425
10:17,63371,54584,4893,74057,71211,31855,55396,74584
10:28,66339,54665,65302,49129,55394,40146,,
10:39,,,60950,67239,68279,31855,66737,51930
10:50,18686,3703,67231,58408,4893,31853,59828,59320
11:01,53313,59826,74585,51930,13864,74584,74586,49129
11:12,56419,55396,58709,31854,54584,57674,54665,26789
11:23,40146,53457,55394,58575,13867,60950,59320,71263

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,64425,61859,55396,49129,59828,61147,63372,53457
14:07,56419,59320,3703,26789,59826,68279,54665,31855
14:15,65253,65302,57674,13867,63371,70462,66737,58408
14:22,13864,31854,64424,61798,18686,40146,53313,67231
14:30,73685,3703,54584,60950,68279,31853,4893,51930
14:37,58575,67555,55396,67239,63371,61147,54665,74584
14:45,65302,13864,55394,65253,66339,66737,56419,58709
14:52,31854,71263,65867,26789,58408,73598,13867,74584
15:00,63372,54584,70462,61859,74057,31855,59828,40146
15:07,53457,64424,55394,31853,59826,60950,4893,73685
15:15,74585,71263,18686,64425,13867,71211,74586,61798
15:22,66339,65302,67231,72160,49129,40146,59320,73598
15:30,74585,67555,51930,53457,13864,65867,56419,26789
15:37,53313,61147,74586,74057,68279,57674,70462,73685
15:45,58709,73598,61859,49129,54665,71211,67239,72160
15:52,63371,,54584,31854,58575,3703,31855,58408
16:00,74584,64424,59828,31853,74057,66737,67231,67555
16:07,63372,55396,71263,64425,4893,59826,65253,66339
16:15,65867,71211,53313,72160,58575,60950,74586,18686
16:22,67239,74585,51930,55394,61798,57674,59320,58709

