Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,3703,4893,13864,13867,18686,26789,31853,31854,31855
09:00,40146,49129,51930,53313,53457,54584,54665,55394,55396
09:45,56419,57674,58408,58575,58709,59320,59826,59828,60950
10:30,,61147,61798,61859,63371,63372,64424,64425,65253
11:15,65302,65867,66339,66737,67231,67239,67555,68279,70462
12:00,71211,71263,72160,73598,73685,74057,74584,74585,74586

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,72160,68279,61147,61859,59828,71211,65253,59320
09:11,63372,65302,64424,57674,56419,66339,60950,63371
09:22,59826,65867,64425,67555,61798,73598,58408,73685
09:33,74584,71263,13867,4893,31853,74586,67231,66737
09:44,70462,74585,64424,61859,,,67239,71211
09:55,64425,66339,13864,65302,3703,72160,61798,31855
10:06,40146,65253,74584,54584,31854,63371,67231,63372
10:17,61147,53313,18686,73685,74586,26789,51930,74057
10:28,70462,55394,68279,49129,,,53457,55396
10:39,,,58709,67555,65867,26789,66737,54665
10:50,13864,3703,13867,59828,18686,67239,58408,58575
11:01,40146,56419,54665,74585,31855,74057,73598,49129
11:12,57674,51930,59320,4893,53313,60950,55394,31853
11:23,55396,54584,59826,53457,31854,58709,58575,71263

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,63372,64424,51930,49129,58408,63371,61798,54584
14:07,57674,58575,3703,31853,56419,65867,55394,26789
14:15,64425,68279,31854,60950,61147,67231,66737,59828
14:22,31855,4893,65253,61859,13864,55396,40146,13867
14:30,74584,3703,53313,58709,65867,67239,54665,18686
14:37,59826,65302,51930,67555,61147,63371,55394,74057
14:45,68279,31855,53457,64425,70462,66737,57674,59320
14:52,4893,71263,66339,31853,59828,72160,31854,74057
15:00,61798,53313,67231,64424,73685,26789,58408,55396
15:07,54584,65253,53457,67239,56419,58709,18686,74584
15:15,74585,71263,13864,63372,31854,74586,73598,61859
15:22,70462,68279,13867,71211,49129,55396,58575,72160
15:30,74585,65302,54665,54584,31855,66339,57674,31853
15:37,40146,63371,73598,73685,65867,60950,67231,74584
15:45,59320,72160,64424,49129,55394,74586,67555,71211
15:52,61147,,53313,4893,59826,3703,26789,59828
16:00,74057,65253,58408,67239,73685,66737,13867,65302
16:07,61798,51930,71263,63372,18686,56419,64425,70462
16:15,66339,74586,40146,71211,59826,58709,73598,13864
16:22,67555,74585,54665,53457,61859,60950,58575,59320

