Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,3703,4893,13864,13867,18686,26789,31853,31854,31855
09:00,40146,49129,51930,53313,53457,54584,54665,55394,55396
09:45,56419,57674,58408,58575,58709,59320,59826,59828,60950
10:30,61147,61798,61859,63371,63372,64424,,64425,65253
11:15,65302,65867,66339,66737,67231,67239,67555,68279,70462
12:00,71211,71263,72160,73598,73685,74057,74584,74585,74586

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,73598,68279,63371,61798,60950,74057,65253,59320
09:11,61147,65302,61859,57674,58709,66339,63372,56419
09:22,59828,65867,64425,70462,64424,74586,58408,74585
09:33,74584,71263,31854,3703,13864,72160,67231,66737
09:44,67239,73685,61859,61798,,,67555,74057
09:55,64425,66339,4893,65302,26789,73598,64424,31855
10:06,49129,65253,74584,54584,13867,63372,67231,61147
10:17,63371,53313,31853,74585,72160,18686,55396,71211
10:28,67239,55394,68279,40146,53457,51930,,
10:39,,,58575,70462,65867,18686,66737,54665
10:50,4893,26789,31854,60950,31853,67555,58408,59826
11:01,49129,58709,54665,73685,31855,71211,74586,40146
11:12,57674,55396,59320,3703,53313,56419,55394,13864
11:23,51930,54584,59828,53457,13867,58575,59826,71263

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,61147,61859,55396,40146,58408,63372,64424,54584
14:07,57674,59826,26789,13864,58709,65867,55394,18686
14:15,64425,68279,13867,56419,63371,67231,66737,60950
14:22,31855,3703,65253,61798,4893,51930,49129,31854
14:30,74584,26789,53313,58575,65867,67555,54665,31853
14:37,59828,65302,55396,70462,63371,63372,55394,71211
14:45,68279,31855,53457,64425,67239,66737,57674,59320
14:52,3703,71263,66339,13864,60950,73598,13867,71211
15:00,64424,53313,67231,61859,74585,18686,58408,51930
15:07,54584,65253,53457,67555,58709,58575,31853,74584
15:15,73685,71263,4893,61147,13867,72160,74586,61798
15:22,67239,68279,31854,74057,40146,51930,59826,73598
15:30,73685,65302,54665,54584,31855,66339,57674,13864
15:37,49129,63372,74586,74585,65867,56419,67231,74584
15:45,59320,73598,61859,40146,55394,72160,70462,74057
15:52,63371,,53313,3703,59828,26789,18686,60950
16:00,71211,65253,58408,67555,74585,66737,31854,65302
16:07,64424,55396,71263,61147,31853,58709,64425,67239
16:15,66339,72160,49129,74057,59828,58575,74586,4893
16:22,70462,73685,54665,53457,61798,56419,59826,59320

