Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,3703,4893,13864,13867,18686,26789,31853,31854,31855
09:00,40146,49129,51930,53313,53457,54584,54665,55394,55396
09:45,56419,57674,58408,58575,58709,59320,59826,59828,60950
10:30,61147,61798,,61859,63371,63372,64424,64425,65253
11:15,65302,65867,66339,66737,67231,67239,67555,68279,70462
12:00,71211,71263,72160,73598,73685,74057,74584,74585,74586

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,72160,68279,63372,63371,59320,73685,64424,58709
09:11,65253,67239,64425,58575,59826,66737,60950,61147
09:22,58408,3703,61859,70462,61798,74585,57674,73598
09:33,71263,74584,65867,13867,18686,71211,67555,31854
09:44,67231,74057,64425,63371,4893,61147,66339,73685
09:55,61859,66737,26789,67239,13864,72160,61798,31855
10:06,51930,64424,71263,53313,73598,31853,67555,65253
10:17,63372,49129,,,71211,65302,,
10:28,67231,55394,68279,40146,54584,54665,53457,74586
10:39,,,56419,70462,3703,65302,31854,55396
10:50,26789,13864,65867,59320,31853,66339,57674,59828
11:01,51930,59826,55396,74057,31855,74586,74585,40146
11:12,58575,53457,58709,13867,49129,60950,55394,18686
11:23,54665,53313,54584,58408,4893,56419,59828,74584

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,65253,64425,53457,40146,57674,61147,61798,53313
14:07,58575,59828,13864,18686,59826,3703,55394,65302
14:15,61859,68279,4893,60950,63372,67555,31854,59320
14:22,31855,13867,64424,63371,26789,54665,51930,65867
14:30,71263,13864,49129,56419,3703,66339,55396,31853
14:37,58408,67239,53457,70462,63372,61147,55394,74586
14:45,68279,31855,54584,61859,67231,31854,58575,58709
14:52,13867,74584,66737,18686,59320,72160,4893,74586
15:00,61798,49129,67555,64425,73598,65302,57674,54665
15:07,53313,64424,54584,66339,59826,56419,31853,71263
15:15,74057,74584,26789,65253,4893,71211,74585,63371
15:22,67231,68279,65867,73685,40146,54665,59828,72160
15:30,74057,67239,55396,53313,31855,66737,58575,18686
15:37,51930,61147,74585,73598,3703,60950,67555,71263
15:45,58709,72160,64425,40146,55394,71211,70462,73685
15:52,63372,,49129,13867,58408,13864,65302,59320
16:00,74586,64424,57674,66339,73598,31854,65867,67239
16:07,61798,53457,74584,65253,31853,59826,61859,67231
16:15,66737,71211,51930,73685,58408,56419,74585,26789
16:22,70462,74057,55396,54584,63371,60950,59828,58709

