Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,3703,4893,13864,13867,18686,26789,31853,31854,31855
09:00,40146,49129,51930,53313,53457,54584,54665,55394,55396
09:45,56419,57674,58408,58575,58709,59320,59826,59828,60950
10:30,61147,61798,61859,63371,,63372,64424,64425,65253
11:15,65302,65867,66339,66737,67231,67239,67555,68279,70462
12:00,71211,71263,72160,73598,73685,74057,74584,74585,74586

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,74584,66737,65253,63372,57674,74585,64424,58575
09:11,61859,65867,63371,58709,59826,70462,59828,61147
09:22,58408,31855,61798,65302,64425,72160,60950,71211
09:33,71263,74057,67239,26789,18686,74586,67555,31854
09:44,67231,73598,63371,63372,13867,61147,68279,74585
09:55,61798,70462,4893,65867,31853,74584,64425,3703
10:06,40146,64424,71263,54584,71211,13864,67555,61859
10:17,65253,55394,,,74586,66339,,
10:28,67231,51930,66737,49129,54665,55396,53457,73685
10:39,,,56419,65302,31855,66339,31854,53313
10:50,4893,31853,67239,57674,13864,68279,60950,59320
11:01,40146,59826,53313,73598,3703,73685,72160,49129
11:12,58709,53457,58575,26789,55394,59828,51930,18686
11:23,55396,54584,54665,58408,13867,56419,59320,74057

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,61859,63371,53457,49129,60950,61147,64425,54584
14:07,58709,59320,31853,18686,59826,31855,51930,66339
14:15,61798,66737,13867,59828,65253,67555,31854,57674
14:22,3703,26789,64424,63372,4893,55396,40146,67239
14:30,71263,31853,55394,56419,31855,68279,53313,13864
14:37,58408,65867,53457,65302,65253,61147,51930,73685
14:45,66737,3703,54665,61798,67231,31854,58709,58575
14:52,26789,74057,70462,18686,57674,74584,13867,73685
15:00,64425,55394,67555,63371,71211,66339,60950,55396
15:07,54584,64424,54665,68279,59826,56419,13864,71263
15:15,73598,74057,4893,61859,13867,74586,72160,63372
15:22,67231,66737,67239,74585,49129,55396,59320,74584
15:30,73598,65867,53313,54584,3703,70462,58709,18686
15:37,40146,61147,72160,71211,31855,59828,67555,71263
15:45,58575,74584,63371,49129,51930,74586,65302,74585
15:52,65253,,55394,26789,58408,31853,66339,57674
16:00,73685,64424,60950,68279,71211,31854,67239,65867
16:07,64425,53457,74057,61859,13864,59826,61798,67231
16:15,70462,74586,40146,74585,58408,56419,72160,4893
16:22,65302,73598,53313,54665,63372,59828,59320,58575

