Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,3703,4893,13864,13867,18686,26789,31853,31854,31855
09:00,40146,49129,51930,53313,53457,54584,54665,55394,55396
09:45,56419,57674,58408,,58575,58709,59320,59826,59828
10:30,60950,61147,61798,61859,63371,63372,64424,64425,65253
11:15,65302,65867,66339,66737,67231,67239,67555,68279,70462
12:00,71211,71263,72160,73598,73685,74057,74584,74585,74586

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,58408,66339,63371,58709,60950,64424,73598,59828
09:11,63372,58575,57674,64425,65867,65253,59320,61859
09:22,74586,67239,61147,60950,65302,59826,71263,70462
09:33,65253,68279,67231,64424,64425,65867,74585,18686
09:44,63371,61798,70462,74584,74057,71211,66737,66339
09:55,4893,61147,,72160,31853,63372,53457,73685
10:06,61798,31855,3703,67555,13864,55394,,
10:17,54584,26789,55396,66737,53313,13867,51930,65302
10:28,,,71211,67239,,,54665,68279
10:39,67231,49129,18686,67555,13867,40146,56419,31854
10:50,55394,58709,31855,74586,74585,51930,31853,71263
11:01,57674,59828,13864,74057,31854,72160,58575,73598
11:12,53457,3703,54665,56419,73685,26789,49129,74584
11:23,58408,4893,53313,54584,59826,55396,40146,59320

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,61798,61859,57674,65302,31853,40146,53457,56419
14:07,74586,66339,63371,74057,73685,59828,74585,74584
14:15,67231,72160,59320,3703,64424,71211,71263,31854
14:22,58575,68279,60950,4893,59826,51930,49129,65302
14:30,63372,13867,58709,67239,13864,18686,54665,70462
14:37,66737,31855,55396,65867,60950,65253,,
14:45,,,72160,54584,58408,70462,63372,53313
14:52,63371,71263,26789,74584,74057,40146,73598,59320
15:00,49129,61147,3703,58709,31853,64424,54665,18686
15:07,54584,61798,31855,13864,74585,55394,13867,74586
15:15,4893,66339,55396,64425,56419,59826,73685,61859
15:22,57674,58575,61147,66737,65867,71211,51930,31853
15:30,31854,53313,68279,74057,60950,26789,67231,59828
15:37,,,61859,67555,65302,58408,58709,73598
15:45,65253,59826,49129,64424,31854,13867,67239,71263
15:52,70462,53457,57674,26789,59828,63372,73598,63371
16:00,55394,31855,54665,72160,58408,55396,59320,61147
16:07,67231,3703,18686,74586,68279,40146,66737,73685
16:15,61798,67239,13864,74584,53313,66339,58575,54584
16:22,65867,51930,71211,67555,4893,64425,56419,65253

