Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,3703,4893,13864,13867,18686,26789,31853,31854,31855
09:00,40146,49129,51930,53313,53457,54584,54665,55394,55396
09:45,56419,57674,58408,,58575,58709,59320,59826,59828
10:30,60950,61147,61798,61859,63371,63372,64424,64425,65253
11:15,65302,65867,66339,66737,67231,67239,67555,68279,70462
12:00,71211,71263,72160,73598,73685,74057,74584,74585,74586

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,64425,59828,67555,66339,67239,64424,65253,63372
09:11,59320,57674,59826,67231,58575,61859,73598,65867
09:22,63371,65253,71211,60950,56419,63372,61798,64425
09:33,31853,66737,70462,74585,74584,68279,72160,73685
09:44,61798,65302,31854,64424,61147,74057,71263,61859
09:55,,,67555,13864,65867,74586,67231,67239
10:06,13867,60950,18686,4893,3703,66339,61147,63371
10:17,31855,70462,51930,68279,53457,65302,26789,54584
10:28,66737,53313,73685,73598,40146,55394,55396,49129
10:39,,,53457,72160,58709,74584,51930,71211
10:50,,,54665,74057,54584,3703,74585,71263
11:01,58408,31855,58575,57674,74586,58709,18686,59320
11:12,55396,31854,55394,26789,49129,13864,53313,59828
11:23,40146,4893,56419,58408,13867,54665,31853,59826

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,66737,31855,40146,68279,49129,31853,72160,65867
14:07,58575,66339,73685,57674,74586,74584,61147,71263
14:15,65253,65302,71211,67231,13867,74585,26789,63372
14:22,31855,59826,55394,3703,54665,61859,70462,54584
14:30,66339,31854,73598,4893,58408,74057,61798,67239
14:37,64425,60950,67555,59320,53457,13864,51930,59828
14:45,63371,56419,40146,72160,54584,58709,67231,64424
14:52,4893,57674,63372,60950,13864,65302,55396,53313
15:00,13867,66737,64424,74057,49129,74585,65253,65867
15:07,61798,70462,31854,73598,18686,55394,56419,73685
15:15,31853,65253,51930,26789,54665,3703,74584,71211
15:22,58575,66737,67555,68279,13867,55394,58408,61859
15:30,63371,58709,71263,64424,74585,74586,53313,59320
15:37,54584,59828,59826,58408,18686,74057,67239,
15:45,51930,31855,53457,60950,61147,65302,72160,64425
15:52,55396,59826,31854,26789,58709,63372,18686,66339
16:00,59320,4893,56419,57674,67239,68279,73598,61859
16:07,40146,61147,53457,58575,74584,54665,61798,73685
16:15,71263,70462,67555,31853,65867,55396,74586,63371
16:22,64425,53313,71211,13864,3703,59828,67231,49129

