Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,3703,4893,13864,13867,18686,26789,31853,31854,31855
09:00,40146,49129,51930,53313,53457,54584,54665,55394,55396
09:45,56419,57674,58408,,58575,58709,59320,59826,59828
10:30,60950,61147,61798,61859,63371,63372,64424,64425,65253
11:15,65302,65867,66339,66737,67231,67239,67555,68279,70462
12:00,71211,71263,72160,73598,73685,74057,74584,74585,74586

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,64425,59828,70462,66339,67239,64424,65253,63372
09:11,59320,57674,59826,67231,58575,61859,74586,65867
09:22,63371,65253,72160,60950,56419,63372,61798,64425
09:33,31853,66737,74584,67555,74585,68279,71263,73598
09:44,61798,65302,31854,64424,61147,71211,73685,61859
09:55,,,70462,31855,65867,74057,67231,67239
10:06,13867,60950,13864,4893,3703,66339,61147,63371
10:17,18686,67555,51930,68279,53457,65302,26789,54584
10:28,66737,53313,73598,74586,40146,55394,55396,49129
10:39,,,53457,71263,58709,74585,,
10:50,51930,72160,54665,71211,54584,3703,74584,73685
11:01,58408,18686,58575,57674,74057,58709,13864,59320
11:12,55396,31854,55394,26789,49129,31855,53313,59828
11:23,40146,4893,56419,58408,13867,54665,31853,59826

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,66737,18686,40146,68279,49129,31853,71263,65867
14:07,58575,66339,73598,57674,74057,74585,61147,73685
14:15,65253,65302,72160,67231,13867,74584,26789,63372
14:22,18686,59826,55394,3703,54665,61859,67555,54584
14:30,66339,31854,74586,4893,58408,71211,61798,67239
14:37,64425,60950,70462,59320,53457,31855,51930,59828
14:45,63371,56419,40146,71263,54584,58709,67231,64424
14:52,4893,57674,63372,60950,31855,65302,55396,53313
15:00,13867,66737,64424,71211,49129,74584,65253,65867
15:07,61798,67555,31854,74586,13864,55394,56419,73598
15:15,31853,65253,51930,26789,54665,3703,74585,72160
15:22,58575,66737,70462,68279,13867,55394,58408,61859
15:30,63371,58709,73685,64424,74584,74057,53313,59320
15:37,54584,59828,59826,58408,13864,71211,67239,
15:45,51930,18686,53457,60950,61147,65302,71263,64425
15:52,55396,59826,31854,26789,58709,63372,13864,66339
16:00,59320,4893,56419,57674,67239,68279,74586,61859
16:07,40146,61147,53457,58575,74585,54665,61798,73598
16:15,73685,67555,70462,31853,65867,55396,74057,63371
16:22,64425,53313,72160,31855,3703,59828,67231,49129

